Name,Address,Площадь,Оборот,geometry
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",574,35969586,POINT (37.5018390981161 55.7422546178886)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",733,78354270,POINT (37.5018390981161 55.7422546178886)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",1643,177842801,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",2196,144704070,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",2435,59385485,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",1982,69681696,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",1740,155250735,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",1481,175535082,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",2130,12152830,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",285,141642656,POINT (37.5034807842791 55.7424989279401)
Магазин «Электротовары»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",335,75908118,POINT (37.5034807842791 55.7424989279401)
Спутниковые антенны,"город Москва, Зелёный проспект, дом 3А, строение 1",2334,159066083,POINT (37.769064271721 55.7499680721171)
ОНЛАЙН ТРЕЙД.РУ,"город Москва, Никольская улица, дом 25",650,144777389,POINT (37.6248310792614 55.7590952082183)
LG,"город Москва, Ленинградское шоссе, дом 16А, строение 8",2467,168854873,POINT (37.4979473827072 55.8231815486223)
Bork,"город Москва, Ленинградское шоссе, дом 16А, строение 8",1109,96874102,POINT (37.4979473827072 55.8231815486223)
Garmin,"город Москва, Ленинградское шоссе, дом 16А, строение 8",1989,108498498,POINT (37.4979473827072 55.8231815486223)
Fix my gadget,"город Москва, Новопетровская улица, дом 6",944,2156171,POINT (37.5164985855877 55.8256797570835)
Мегафон,"город Москва, улица Куусинена, дом 1",1122,97724372,POINT (37.5164226394314 55.7783712712834)
Плюс-Электро,"город Москва, улица Куусинена, дом 11, корпус 2",384,89612302,POINT (37.5139779912507 55.7827208745807)
ЭТМ,"город Москва, улица Мнёвники, дом 10, корпус 1",494,131129988,POINT (37.492628 55.7735477625111)
Офис продаж телевизионного оборудования и электротоваров,"город Москва, Нагорный бульвар, дом 5, корпус 1",2211,12021486,POINT (37.5938537254776 55.6738943439748)
Компьютеры,"город Москва, город Зеленоград, корпус 339А",1469,43998351,POINT (37.216478 55.993133)
220 Вольт,"город Москва, улица Дмитриевского, дом 17",501,23126060,POINT (37.893457111225 55.7093320144118)
Швейный мир,"город Москва, улица 1905 Года, дом 10, строение 1",325,138393722,POINT (37.5585787257378 55.7680206503426)
Инструменты,"город Москва, Щёлковское шоссе, дом 2А",268,117676881,POINT (37.7584530349674 55.8032110812185)
Viking Stihl,"город Москва, Маленковская улица, дом 32, строение 3",819,86388136,POINT (37.6744529380449 55.7865469800278)
Электротовары,"город Москва, проезд Серебрякова, дом 6",346,143669136,POINT (37.6511520050655 55.8469596047612)
TELE2,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",1423,26652238,POINT (37.5406688091056 55.9095104951829)
Компьютеры,"город Москва, шоссе Энтузиастов, дом 31",1979,38061147,POINT (37.7500161576723 55.7592541755731)
Электроинструменты,"город Москва, Суздальская улица, дом 18Г",1040,161753594,POINT (37.8503769580767 55.7417234922585)
X-Store,"город Москва, Святоозерская улица, дом 1А",910,34434075,POINT (37.884471 55.7149187455069)
Билайн,"город Москва, Святоозерская улица, дом 1А",1112,119096017,POINT (37.884471 55.7149187455069)
Fix my Gadget,"город Москва, Старопетровский проезд, дом 1, строение 2",2132,16583180,POINT (37.5003488068019 55.823742466813)
DNS,"город Москва, город Зеленоград, Привокзальная площадь, дом 1",1638,15149962,POINT (37.171744 55.979002)
Светоник,"город Москва, Кировоградская улица, дом 13",1735,80639773,POINT (37.6062274768495 55.6134727648911)
«Электротовары» в БЦ «Южный парк»,"город Москва, улица Кирпичные Выемки, дом 2, корпус 1",1180,127871808,POINT (37.601626820101 55.586950421479)
Электроинструменты,"город Москва, Большая Декабрьская улица, дом 3, строение 1",1930,48052113,POINT (37.5576581411432 55.7649212291144)
BOSCH,"город Москва, Цветной бульвар, дом 2",2050,139795717,POINT (37.6234571945011 55.7681789544122)
Электротовары,"город Москва, поселение Первомайское, Дорожная улица, дом 12, строение 1",1252,137834421,POINT (37.21692 55.510925)
Samsung,"город Москва, Валовая улица, дом 11/19",82,73506084,POINT (37.6324290665899 55.7302342869849)
ЭТМ,"город Москва, Дмитровское шоссе, дом 51, корпус 1",165,107203928,POINT (37.5690359145018 55.8421201100641)
ИНСТРУМЕНТЫ,"город Москва, Енисейская улица, дом 11",868,46162983,POINT (37.661418 55.8652657892896)
Электроника,"город Москва, улица Корнейчука, дом 54",1339,49036342,POINT (37.6279432134562 55.8942065155845)
Tele2,"город Москва, улица Куусинена, дом 1",464,174655671,POINT (37.5164226394314 55.7783712712834)
Швейные машины,"город Москва, улица Куусинена, дом 7, корпус 2",2476,145034338,POINT (37.5153159480623 55.7801834217447)
Электрика,"город Москва, Скобелевская улица, дом 20",1649,55190191,POINT (37.555559 55.5460826970341)
Юлан,"город Москва, 2-я Вольская улица, дом 22, корпус 1",2001,155259867,POINT (37.9229588212428 55.6858845506752)
МЕГАФОН,"город Москва, Красная площадь, дом 3",2328,171307758,POINT (37.621529 55.7546607570236)
Stoprobot Vinyl,"город Москва, Новодмитровская улица, дом 1, строение 5",1442,66486439,POINT (37.5845693907821 55.7976810513464)
Аудио-видеотехника,"город Москва, Пятницкое шоссе, дом 43",1075,116428117,POINT (37.3502779859551 55.8571960300986)
Магазин «Электроника»,"город Москва, Багратионовский проезд, дом 7, корпус 20А",63,54767986,POINT (37.502907 55.7426717535451)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 20",669,5539920,POINT (37.593565 55.7938487684197)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 20",1752,43016241,POINT (37.593565 55.7938487684197)
Пластинки,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 20",2352,148216819,POINT (37.593565 55.7938487684197)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",1073,94996220,POINT (37.592878999999996 55.7941277685009)
ИНТЕЛИС-ТО,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2203,165132650,POINT (37.592878999999996 55.7941277685009)
ДОКТОР МОБИ,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2124,93697976,POINT (37.592878999999996 55.7941277685009)
Электро Тайм,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",727,55667285,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",72,4134104,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",351,150195649,POINT (37.592878999999996 55.7941277685009)
GAME PARK,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",303,111470670,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",1777,18641675,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",547,117160494,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2015,91593008,POINT (37.592878999999996 55.7941277685009)
Интерпродукт,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",108,163814107,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",1541,24894715,POINT (37.592878999999996 55.7941277685009)
Электротовары,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 5, строение 1А",1117,81271637,POINT (37.592878999999996 55.7941277685009)
DNS,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",463,161823263,POINT (37.592878999999996 55.7941277685009)
РВН-Групп,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",2445,26694349,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",685,6140716,POINT (37.592878999999996 55.7941277685009)
Новатор,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",6,79301631,POINT (37.592878999999996 55.7941277685009)
РВН-Групп,"город Москва, улица Сущёвский Вал, дом 5, строение 1А",1173,42271256,POINT (37.592878999999996 55.7941277685009)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1222,127023420,POINT (37.591362 55.795126768792)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1374,179746242,POINT (37.591362 55.795126768792)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",2204,105841860,POINT (37.591362 55.795126768792)
R.LAB,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1855,130882207,POINT (37.591362 55.795126768792)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",2327,162586786,POINT (37.591362 55.795126768792)
РВН-Групп,"город Москва, улица Сущёвский Вал, дом 5, строение 12",346,23037469,POINT (37.591362 55.795126768792)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 12",1511,170545577,POINT (37.591362 55.795126768792)
Эльдорадо,"город Москва, проспект Мира, дом 211, корпус 2",2225,97008504,POINT (37.660246 55.8449667833444)
Технопарк,"город Москва, проспект Мира, дом 211, корпус 2",816,116603880,POINT (37.660246 55.8449667833444)
Makita Traiding,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нижегородский, Нижегородская улица, дом 29-33, строение 4",1342,62330719,POINT (37.71279 55.7335657509055)
Предприятие НИКС,"город Москва, Новоясеневский проспект, владение 2А, строение 1",991,62911729,POINT (37.5310950854297 55.6077667442325)
Ситилюкс,"город Москва, Новоясеневский проспект, владение 2А, строение 1",926,49110855,POINT (37.5057527019369 55.6176887162191)
Свет дизайн,"город Москва, Нахимовский проспект, дом 24, строение 1",2395,141624514,POINT (37.585016 55.6718097330604)
Светим Вам,"город Москва, Нахимовский проспект, дом 24, строение 1",182,62203912,POINT (37.585016 55.6718097330604)
Товары для дома,"город Москва, Нахимовский проспект, дом 24, строение 1",127,85189693,POINT (37.585016 55.6718097330604)
Salonysveta.ru,"город Москва, Нахимовский проспект, дом 24, строение 1",387,39935042,POINT (37.585016 55.6718097330604)
LEDNIKOFF,"город Москва, Нахимовский проспект, дом 24, строение 1",965,83756430,POINT (37.585016 55.6718097330604)
Электроустановочные изделия,"город Москва, Нахимовский проспект, дом 24, строение 1",680,99946705,POINT (37.585016 55.6718097330604)
Системы безопасности (Электрооборудование),"город Москва, Нахимовский проспект, дом 24, строение 1",16,26606390,POINT (37.585016 55.6718097330604)
Студия света,"город Москва, Нахимовский проспект, дом 24, строение 1",835,143703258,POINT (37.585016 55.6718097330604)
Светодиодное освещение,"город Москва, Нахимовский проспект, дом 24, строение 1",995,45406188,POINT (37.585016 55.6718097330604)
Светодиодное освещение,"город Москва, Нахимовский проспект, дом 24, строение 1",1416,164715517,POINT (37.585016 55.6718097330604)
Джи Би Эм Лайт,"город Москва, Нахимовский проспект, дом 24, строение 1",796,56734312,POINT (37.585016 55.6718097330604)
EXZELLENT licht,"город Москва, Нахимовский проспект, дом 24, строение 1",1640,48172462,POINT (37.585016 55.6718097330604)
Видеотехнология,"город Москва, Нахимовский проспект, дом 24, строение 1",163,89802968,POINT (37.585016 55.6718097330604)
Видеотехнология,"город Москва, Нахимовский проспект, дом 24, строение 1",1087,56547594,POINT (37.585016 55.6718097330604)
Компьютерный мир,"город Москва, Южнобутовская улица, дом 58",211,113795700,POINT (37.529459 55.5368606944077)
Радиоаппаратура,"город Москва, Пятницкое шоссе, дом 18",348,33847643,POINT (37.382892 55.8442977831486)
Запчасти,"город Москва, Пятницкое шоссе, дом 18",1543,170753633,POINT (37.382892 55.8442977831486)
Ноутбуки,"город Москва, Пятницкое шоссе, дом 18",1586,6702882,POINT (37.382892 55.8442977831486)
Мир ламп,"город Москва, Пятницкое шоссе, дом 18",1928,125025060,POINT (37.382892 55.8442977831486)
Электробензоинструмент,"город Москва, Пятницкое шоссе, дом 18",539,43770572,POINT (37.382892 55.8442977831486)
"Кабель, разъемы","город Москва, Пятницкое шоссе, дом 18",2038,162208854,POINT (37.382892 55.8442977831486)
Аксессуары к цифровой технике,"город Москва, Пятницкое шоссе, дом 18",2176,31037544,POINT (37.382892 55.8442977831486)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",2352,43980082,POINT (37.382892 55.8442977831486)
Трансформаторные блоки,"город Москва, Пятницкое шоссе, дом 18",1098,96250762,POINT (37.3837368002486 55.844469687365)
"Батарейки, блоки питания","город Москва, Пятницкое шоссе, дом 18",1558,120375203,POINT (37.3837368002486 55.844469687365)
Крупная бытовая техника,"город Москва, Пятницкое шоссе, дом 18",648,96948839,POINT (37.383642 55.844324)
Автосигнализации,"город Москва, Пятницкое шоссе, дом 18",1668,9917521,POINT (37.383642 55.844324)
Радиодетали,"город Москва, Пятницкое шоссе, дом 18",685,105065236,POINT (37.383642 55.844324)
Антирадары,"город Москва, Пятницкое шоссе, дом 18",1159,161791180,POINT (37.383642 55.844324)
Видеонаблюдение,"город Москва, Пятницкое шоссе, дом 18",1503,111047657,POINT (37.383642 55.844324)
Бытовая техника,"город Москва, Пятницкое шоссе, дом 18",2023,104286355,POINT (37.383642 55.844324)
Бытовая техника,"город Москва, Пятницкое шоссе, дом 18",321,35982122,POINT (37.383642 55.844324)
Видеонаблюдение,"город Москва, Пятницкое шоссе, дом 18",2203,42520252,POINT (37.382892 55.8442977831486)
Запчасти к бытовой технике,"город Москва, Пятницкое шоссе, дом 18",1903,114281207,POINT (37.382892 55.8442977831486)
Кабель,"город Москва, Пятницкое шоссе, дом 18",400,99250382,POINT (37.382892 55.8442977831486)
Компьютеры и комплектующие,"город Москва, Пятницкое шоссе, дом 18",2087,150811645,POINT (37.382892 55.8442977831486)
Видеонаблюдение,"город Москва, Пятницкое шоссе, дом 18",1634,32928770,POINT (37.382892 55.8442977831486)
Видеонаблюдение,"город Москва, Пятницкое шоссе, дом 18",1107,102346900,POINT (37.382892 55.8442977831486)
Радиоуправляемые игрушки,"город Москва, Пятницкое шоссе, дом 18",809,51599406,POINT (37.382892 55.8442977831486)
Компьютерная техника,"город Москва, Пятницкое шоссе, дом 18",1706,101024911,POINT (37.382892 55.8442977831486)
"Кабель, разъемы","город Москва, Пятницкое шоссе, дом 18",1733,154585274,POINT (37.382892 55.8442977831486)
Компьютеры,"город Москва, Пятницкое шоссе, дом 18",2258,99255532,POINT (37.382892 55.8442977831486)
Компьютеры,"город Москва, Пятницкое шоссе, дом 18",228,13088323,POINT (37.382892 55.8442977831486)
Телевизоры,"город Москва, Пятницкое шоссе, дом 18",141,171831718,POINT (37.382892 55.8442977831486)
"Телевизоры, часы","город Москва, Пятницкое шоссе, дом 18",1167,117136781,POINT (37.382892 55.8442977831486)
Телевизоры,"город Москва, Пятницкое шоссе, дом 18",1284,109402056,POINT (37.382892 55.8442977831486)
"Фонарики, батарейки","город Москва, Пятницкое шоссе, дом 18",521,53263834,POINT (37.382892 55.8442977831486)
Электротовары,"город Москва, Пятницкое шоссе, дом 18",1305,103376268,POINT (37.3837368002486 55.844469687365)
"Игрушки, светотехника","город Москва, Пятницкое шоссе, дом 18",454,6526950,POINT (37.3837368002486 55.844469687365)
Союз 9,"город Москва, Пятницкое шоссе, дом 18",1518,136141251,POINT (37.3837368002486 55.844469687365)
Радиотовары,"город Москва, Пятницкое шоссе, дом 18",427,161865289,POINT (37.3837368002486 55.844469687365)
Компьютеры,"город Москва, Пятницкое шоссе, дом 18",2045,16760933,POINT (37.3837368002486 55.844469687365)
Твоя игра,"город Москва, Пятницкое шоссе, дом 18",1330,151510094,POINT (37.3837368002486 55.844469687365)
Игровые приставки,"город Москва, Пятницкое шоссе, дом 18",1254,45094797,POINT (37.3837368002486 55.844469687365)
Ситилинк,"город Москва, Планерная улица, дом 7",1739,99801309,POINT (37.4348134645878 55.8626435362361)
Светильники Kink Light,"город Москва, улица Адмирала Макарова, дом 6, строение 13",2413,91272946,POINT (37.490633 55.8355477805893)
Мегафон,"город Москва, улица Красного Маяка, дом 2",1980,150909891,POINT (37.601906 55.6118607158315)
DNS,"город Москва, Марксистская улица, дом 1, корпус 1",665,102469808,POINT (37.658592 55.7404347528964)
Регенбоген,"город Москва, улица Нижняя Масловка, дом 14",69,50054423,POINT (37.575977 55.7920747679029)
МТС,"город Москва, Хорошёвское шоссе, дом 82",838,105429953,POINT (37.521372 55.7782907638906)
Эльдорадо,"город Москва, Краснопрудная улица, дом 15",1794,38866304,POINT (37.666943 55.7809857646747)
Оборудование для автосервисов,"город Москва, улица Васильцовский Стан, дом 10, корпус 1",312,111455139,POINT (37.753942 55.7157187457383)
Оборудование для шиномонтажа,"город Москва, Волжский бульвар, дом 5, корпус 1",2350,140486779,POINT (37.745009 55.7177977463398)
Позитроника,"город Москва, поселение Московский, МКАД, 47-й километр, владение 31, строение 1",48,62235468,POINT (37.430689 55.6587217292911)
DNS,"город Москва, улица Миклухо-Маклая, дом 18, корпус 3",1119,173889760,POINT (37.520212 55.6444917251979)
Билайн,"город Москва, Хорошёвское шоссе, дом 35, корпус 1",1674,25626815,POINT (37.521636 55.7774517636465)
Магазин «Все для компьютера»,"город Москва, Ключевая улица, дом 6, корпус 1",2243,172126326,POINT (37.757443 55.6377047232476)
DNS электроника,"город Москва, Елецкая улица, дом 15",330,27344381,POINT (37.733847 55.6074007145535)
Магазин телефонов,"город Москва, Кленовый бульвар, дом 3",316,51987258,POINT (37.67418 55.6845007367196)
Центр светящихся материалов -Москва,"город Москва, Ярославская улица, дом 8, корпус 7",1202,110788246,POINT (37.649607 55.8171267752077)
Электротовары,"город Москва, улица Сущёвский Вал, дом 5, строение 6",2412,164308414,POINT (37.59132 55.7947497686821)
М.Видео,"город Москва, Алтуфьевское шоссе, дом 8",1739,48796508,POINT (37.585773 55.8528277856455)
DNS Гипер,"город Москва, Дмитровское шоссе, дом 163А, корпус 1",2372,104845581,POINT (37.540401 55.9093738022447)
Эльдорадо,"город Москва, Открытое шоссе, дом 9, строение 1",402,113208581,POINT (37.73804 55.8154707747243)
Эльдорадо,"город Москва, Святоозерская улица, дом 1А",1850,7158587,POINT (37.884471 55.7149187455069)
DNS,"город Москва, Люблинская улица, дом 102А",482,146850864,POINT (37.742195 55.652312727447)
Music Sell музыкальное оборудование,"город Москва, Рязанский проспект, дом 30, корпус 2",2330,155577934,POINT (37.78383 55.7181777464498)
Samsung,"город Москва, 7-я Кожуховская улица, дом 9",161,93790939,POINT (37.67603 55.7109287443529)
DNS Гипер,"город Москва, 7-я Кожуховская улица, дом 9",2474,118533719,POINT (37.67603 55.7109287443529)
Пульты,"город Москва, Профсоюзная улица, дом 56",469,127718228,POINT (37.5522 55.669767732472)
Мобильные телефоны и аксессуары,"город Москва, Профсоюзная улица, дом 56",683,122345425,POINT (37.5522 55.669767732472)
Массажные кресла,"город Москва, Профсоюзная улица, дом 56",2451,107841577,POINT (37.5522 55.669767732472)
Телефоны,"город Москва, Профсоюзная улица, дом 56",1045,11533449,POINT (37.5522 55.669767732472)
Мобильные телефоны,"город Москва, Профсоюзная улица, дом 56",819,110279157,POINT (37.5522 55.669767732472)
Освещение,"город Москва, Профсоюзная улица, дом 56",777,82273794,POINT (37.5522 55.669767732472)
Игровые приставки,"город Москва, Профсоюзная улица, дом 56",542,66732619,POINT (37.5522 55.669767732472)
Бытовая техника,"город Москва, Профсоюзная улица, дом 56",1853,18107215,POINT (37.5522 55.669767732472)
Icult.ru IPhone IMac IPad аксессуары,"город Москва, Профсоюзная улица, дом 56",878,112889473,POINT (37.5522 55.669767732472)
Часы сборные модели,"город Москва, Профсоюзная улица, дом 56",117,77842008,POINT (37.5522 55.669767732472)
Телефон аксессуары,"город Москва, Профсоюзная улица, дом 56",1428,6905763,POINT (37.5522 55.669767732472)
PLATINUM COMPUTERS. МИР АКСЕССУАРОВ,"город Москва, Профсоюзная улица, дом 56",1861,63098768,POINT (37.5522 55.669767732472)
Max Video,"город Москва, Профсоюзная улица, дом 56",620,140298308,POINT (37.5522 55.669767732472)
Akstel,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Профсоюзная улица, дом 56",1958,31278514,POINT (37.5522 55.669767732472)
VCLand,"город Москва, Профсоюзная улица, дом 56",279,68774848,POINT (37.5522 55.669767732472)
Miele,"город Москва, Нахимовский проспект, дом 58",1180,30960266,POINT (37.554159 55.6837147364929)
SMART,"город Москва, Ленинский проспект, дом 109",1250,25114912,POINT (37.511132 55.663792730751)
Redmond (Электроника),"город Москва, улица Поляны, дом 8",2065,63759649,POINT (37.556673 55.5650597024457)
М.видео,"город Москва, Куликовская улица, дом 6",1174,154006968,POINT (37.565298 55.5741127050306)
МТС,"город Москва, Манежная площадь, дом 1, строение 2",1371,162416240,POINT (37.6146039399169 55.7557804956664)
М.видео,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1",7,591376,POINT (37.467138 55.677917734821)
Uragan Vape,"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, дом 3, корпус 1",2376,72132710,POINT (37.467138 55.677917734821)
Билайн,"город Москва, Рублёвское шоссе, дом 62",1644,68863068,POINT (37.380869 55.7668597605669)
Hiphone,"город Москва, Рублёвское шоссе, дом 62",1232,48250969,POINT (37.380869 55.7668597605669)
Эльдорадо,"город Москва, Дубравная улица, дом 34/29",1915,129366234,POINT (37.357853 55.84614778369)
Электрика,"город Москва, Пятницкое шоссе, дом 18",1805,58777220,POINT (37.382892 55.8442977831486)
Электрика,"город Москва, Пятницкое шоссе, дом 18",1445,155307252,POINT (37.382892 55.8442977831486)
Рации,"город Москва, Пятницкое шоссе, дом 18",2066,49288177,POINT (37.382892 55.8442977831486)
Электротовары,"город Москва, Нарвская улица, дом 1А",1901,77075252,POINT (37.505483 55.8314037793779)
Люстры,"город Москва, Ленинградское шоссе, дом 25",2022,155413141,POINT (37.489458 55.8280137783872)
СВГРУПП,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 25",945,89781297,POINT (37.489458 55.8280137783872)
СМ Электро,"город Москва, Ленинградское шоссе, дом 25",207,110318388,POINT (37.489458 55.8280137783872)
Мегафон,"город Москва, Ленинградское шоссе, дом 16А, строение 4",424,93144383,POINT (37.497057 55.8230777769453)
Эльдорадо,"город Москва, Дмитровское шоссе, дом 89",20,135978460,POINT (37.545743 55.863690788828)
Компьютерной техники,"город Москва, город Зеленоград, корпус 1106Е",1954,75305121,POINT (37.190953 55.997864)
Эльдорадо,"город Москва, город Зеленоград, корпус 1550",1221,108342278,POINT (37.1767111599615 55.969383948869)
RBT.ru,"город Москва, проспект Андропова, дом 22",1965,85904495,POINT (37.662401 55.6831227363221)
BESTSYSTEM компьютерная и цифровая техника,"город Москва, Кировоградская улица, дом 15",2080,165464225,POINT (37.6047140811005 55.6094513219503)
"Планшеты, смартфоны","город Москва, Кировоградская улица, дом 15",1873,32561191,POINT (37.6047140811005 55.6094513219503)
"Светильники, лампочки","город Москва, Кировоградская улица, дом 15",22,126942569,POINT (37.6047140811005 55.6094513219503)
Эльдорадо,"город Москва, Ореховый бульвар, дом 14, корпус 3",841,153327170,POINT (37.720122 55.6097577152288)
Эльдорадо,"город Москва, Кировоградская улица, дом 13",447,161734222,POINT (37.606306000000004 55.6134267162804)
Магазин «Холодильное оборудование»,"город Москва, Михневская улица, дом 21, корпус 1, сооружение 1",1822,44965793,POINT (37.667354 55.5804087068296)
Магазин «Эльдорадо»,"город Москва, Бирюлёвская улица, дом 51, корпус 1",1629,16991737,POINT (37.671586 55.5827107074875)
М.видео,"город Москва, Большая Тульская улица, дом 13",166,130156759,POINT (37.622107 55.7087727437295)
"Магазин электроники, цифровой и бытовой техники «Эльдорадо»","город Москва, Ореховый бульвар, дом 22А",21,42845990,POINT (37.732734 55.6121427159124)
М.видео,"город Москва, проспект Андропова, дом 8",2391,29471917,POINT (37.665453 55.6958967400089)
М.Видео,"город Москва, Кировоградская улица, дом 13А",2223,153555914,POINT (37.606216 55.6114317157086)
Эльдорадо,"город Москва, Боровское шоссе, дом 6",440,46534815,POINT (37.402535 55.6590157293758)
Связной,"город Москва, Пресненская набережная, дом 6, строение 2",836,63673863,POINT (37.540183999999996 55.7482077551509)
М.видео,"город Москва, Пресненская набережная, дом 2",2253,175057681,POINT (37.5394705291041 55.749040965218)
AliExpress,"город Москва, Пресненская набережная, дом 2",574,13219997,POINT (37.5394705291041 55.749040965218)
Premium device,"город Москва, поселение Сосенское, Калужское шоссе, 21-й километр, владение 3Б",1096,64163687,POINT (37.494033 55.6038387135331)
Мегафон,"город Москва, поселение Сосенское, Калужское шоссе, 21-й километр, владение 3Б",2446,93147859,POINT (37.494033 55.6038387135331)
Сотовая связь,"город Москва, поселение Марушкинское, посёлок Совхоза ""Крёкшино"", Озёрная улица, владение 6, строение 2",1254,117334762,POINT (37.114313 55.596269)
Люстры Дубровка люкс,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",36,121503716,POINT (37.451788 55.571866)
Евросеть,"город Москва, поселение Сосенское, ж/к ""Дубровка"", Сосновая улица, дом 15",517,84582003,POINT (37.451788 55.571866)
Технопарк,"город Москва, поселение Московский, квартал № 32, владение 17А, строение 1",1132,34499270,POINT (37.400467 55.6292747208266)
Электрика,"город Москва, поселение Краснопахорское, деревня Красная Пахра, домовладение 144, строение 1",588,8934219,POINT (37.289422 55.450754)
Электрика,"город Москва, поселение Щаповское, деревня Троицкое, дом 2",1148,138562322,POINT (37.423312 55.388553)
Электрика,"город Москва, поселение Щаповское, деревня Троицкое, дом 2",658,67768807,POINT (37.423312 55.388553)
Электрика,"город Москва, поселение Щаповское, деревня Троицкое, дом 2",1107,155178156,POINT (37.423312 55.388553)
М.Видео,"город Москва, Кутузовский проспект, дом 57",2232,155320862,POINT (37.477105 55.7279467492778)
Детский островок,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 2309А",229,168397964,POINT (37.187179 55.964309)
Эльдорадо,"город Москва, Новопетровская улица, дом 6",2358,15905074,POINT (37.516623 55.8256167776869)
М.видео,"город Москва, город Московский, улица Хабарова, дом 2",1522,55185705,POINT (37.35591 55.596793711516)
Магазин «М.Видео»,"город Москва, Пролетарский проспект, дом 30",1128,9131441,POINT (37.658886 55.6305757212001)
"Хозтовары, электрика","город Москва, поселение Михайлово-Ярцевское, деревня Терехово, владение 1",463,177068620,POINT (37.1415264657857 55.4012130686582)
Техника,"город Москва, Старокачаловская улица, дом 5А",1418,46488411,POINT (37.579064 55.5697457037834)
Аксессуары для сотовых телефонов,"город Москва, Старокачаловская улица, дом 5А",416,168757328,POINT (37.579064 55.5697457037834)
Аксессуары для сотовых телефонов,"город Москва, Старокачаловская улица, дом 5А",2405,63657209,POINT (37.579064 55.5697457037834)
Ноу-Хау,"город Москва, Старокачаловская улица, дом 5А",1960,129935014,POINT (37.579064 55.5697457037834)
Аксессуары для сотовых телефонов,"город Москва, Старокачаловская улица, дом 5А",566,115529958,POINT (37.579064 55.5697457037834)
